model,hypernym,backbone_acc,shuffle_type,category,avg_cosine
Qwen3-0.6B,headwear,0.7647058823529411,local_shuffled,headwear,0.2764828
Qwen3-0.6B,home appliance,0.9278996865203761,original,home appliance,0.30774447
Qwen3-0.6B,home appliance,0.9278996865203761,shuffled,home appliance,0.106384344
Qwen3-0.6B,home appliance,0.9278996865203761,local_shuffled,home appliance,0.30704167
Qwen3-0.6B,home decor,0.8177777777777778,original,home decor item,0.14416753
Qwen3-0.6B,home decor,0.8177777777777778,shuffled,home decor item,0.11172592
Qwen3-0.6B,home decor,0.8177777777777778,local_shuffled,home decor item,0.1351337
Qwen3-0.6B,insect,0.9873417721518988,original,insect,0.32845968
Qwen3-0.6B,insect,0.9873417721518988,shuffled,insect,0.10351064
Qwen3-0.6B,insect,0.9873417721518988,local_shuffled,insect,0.32845968
Qwen3-0.6B,jewelry,0.8070175438596491,original,piece of jewelry,0.28458902
Qwen3-0.6B,jewelry,0.8070175438596491,shuffled,piece of jewelry,0.15947928
Qwen3-0.6B,jewelry,0.8070175438596491,local_shuffled,piece of jewelry,0.27453682
Qwen3-0.6B,kitchen appliance,0.903954802259887,original,kitchen appliance,0.43856624
Qwen3-0.6B,kitchen appliance,0.903954802259887,shuffled,kitchen appliance,0.122544065
Qwen3-0.6B,kitchen appliance,0.903954802259887,local_shuffled,kitchen appliance,0.43856627
Qwen3-0.6B,kitchen tool,0.8160377358490566,original,kitchen tool,0.34031436
Qwen3-0.6B,kitchen tool,0.8160377358490566,shuffled,kitchen tool,0.111792654
Qwen3-0.6B,kitchen tool,0.8160377358490566,local_shuffled,kitchen tool,0.33386517
Qwen3-0.6B,lighting,0.8571428571428571,original,source of light,0.16713984
Qwen3-0.6B,lighting,0.8571428571428571,shuffled,source of light,0.1242739
Qwen3-0.6B,lighting,0.8571428571428571,local_shuffled,source of light,0.16713983
Qwen3-0.6B,mammal,0.964095744680851,original,mammal,0.32052997
Qwen3-0.6B,mammal,0.964095744680851,shuffled,mammal,0.08719046
Qwen3-0.6B,mammal,0.964095744680851,local_shuffled,mammal,0.31319627
Qwen3-0.6B,medical equipment,0.875,original,medical equipment,0.22743645
Qwen3-0.6B,medical equipment,0.875,shuffled,medical equipment,0.10557048
Qwen3-0.6B,medical equipment,0.875,local_shuffled,medical equipment,0.2151756
Qwen3-0.6B,musical instrument,0.9006622516556292,original,musical instrument,0.24447973
Qwen3-0.6B,musical instrument,0.9006622516556292,shuffled,musical instrument,0.10559211
Qwen3-0.6B,musical instrument,0.9006622516556292,local_shuffled,musical instrument,0.24447973
Qwen3-0.6B,office supply,0.9011627906976745,original,office supply item,0.34146813
Qwen3-0.6B,office supply,0.9011627906976745,shuffled,office supply item,0.118907295
Qwen3-0.6B,office supply,0.9011627906976745,local_shuffled,office supply item,0.32966414
Qwen3-0.6B,outerwear,0.8035714285714286,original,outerwear,0.3125613
Qwen3-0.6B,outerwear,0.8035714285714286,shuffled,outerwear,0.13353439
Qwen3-0.6B,outerwear,0.8035714285714286,local_shuffled,outerwear,0.30241963
Qwen3-0.6B,part of car,0.8181818181818182,original,car part,0.2520023
Qwen3-0.6B,part of car,0.8181818181818182,shuffled,car part,0.13158026
Qwen3-0.6B,part of car,0.8181818181818182,local_shuffled,car part,0.2376549
Qwen3-0.6B,personal hygiene item,0.864516129032258,original,personal hygiene item,0.26480228
Qwen3-0.6B,personal hygiene item,0.864516129032258,shuffled,personal hygiene item,0.09962293
Qwen3-0.6B,personal hygiene item,0.864516129032258,local_shuffled,personal hygiene item,0.22637792
Qwen3-0.6B,plant,0.9049586776859504,original,plant,0.19261082
Qwen3-0.6B,plant,0.9049586776859504,shuffled,plant,0.10246637
Qwen3-0.6B,plant,0.9049586776859504,local_shuffled,plant,0.18926121
Qwen3-0.6B,protective clothing,0.7608695652173914,original,protective clothing item,0.24609903
Qwen3-0.6B,protective clothing,0.7608695652173914,shuffled,protective clothing item,0.113911875
Qwen3-0.6B,protective clothing,0.7608695652173914,local_shuffled,protective clothing item,0.2604862
Qwen3-0.6B,safety equipment,0.8048780487804879,original,safety equipment,0.18056588
Qwen3-0.6B,safety equipment,0.8048780487804879,shuffled,safety equipment,0.13035716
Qwen3-0.6B,safety equipment,0.8048780487804879,local_shuffled,safety equipment,0.18104146
Qwen3-0.6B,school supply,0.8602150537634409,original,school supply item,0.30356604
Qwen3-0.6B,school supply,0.8602150537634409,shuffled,school supply item,0.13094126
Qwen3-0.6B,school supply,0.8602150537634409,local_shuffled,school supply item,0.30074438
Qwen3-0.6B,scientific equipment,0.8333333333333334,original,scientific equipment,0.26171118
Qwen3-0.6B,scientific equipment,0.8333333333333334,shuffled,scientific equipment,0.09281506
Qwen3-0.6B,scientific equipment,0.8333333333333334,local_shuffled,scientific equipment,0.25827074
Qwen3-0.6B,sea animal,0.972809667673716,original,sea animal,0.24193813
Qwen3-0.6B,sea animal,0.972809667673716,shuffled,sea animal,0.09954861
Qwen3-0.6B,sea animal,0.972809667673716,local_shuffled,sea animal,0.24193816
Qwen3-0.6B,seafood,0.9676258992805755,original,seafood,0.2426431
Qwen3-0.6B,seafood,0.9676258992805755,shuffled,seafood,0.10283856
Qwen3-0.6B,seafood,0.9676258992805755,local_shuffled,seafood,0.24264313
Qwen3-0.6B,sports equipment,0.8763157894736842,original,sports equipment,0.17291136
Qwen3-0.6B,sports equipment,0.8763157894736842,shuffled,sports equipment,0.101585135
Qwen3-0.6B,sports equipment,0.8763157894736842,local_shuffled,sports equipment,0.17099938
Qwen3-0.6B,tool,0.8373101952277657,original,tool,0.24047066
Qwen3-0.6B,tool,0.8373101952277657,shuffled,tool,0.10443177
Qwen3-0.6B,tool,0.8373101952277657,local_shuffled,tool,0.23964897
Qwen3-0.6B,toy,0.8518518518518519,original,toy,0.14247005
Qwen3-0.6B,toy,0.8518518518518519,shuffled,toy,0.11020753
Qwen3-0.6B,toy,0.8518518518518519,local_shuffled,toy,0.14156063
