run_name,overall,total_illegal_ratio,mammal,construction equipment,scientific equipment,furniture,animal,game,outerwear,condiment,musical,item of clothing,insect,electronic device,vehicle,home appliance,home decor item,fruit,food,car part,drink,seafood,sports equipment,office supply item,farm animal,school supply,footwear,watercraft,container,kitchen appliance,fastener,source of light,protective clothing item,plant,vegetable,piece of jewelry,sea animal,arts and crafts item,body part,headwear,weapon,medical equipment,garden tool,candy,safety equipment,toy,dessert,kitchen tool,tool,personal hygiene item,piece of women's clothing,bird,clothing accessory,breakfast food,hardware item
align-dinov2+500m-things+hyp-abl40cat-218-random,0.5573052696266708,0.0,0.2644444444444444,0.5482456140350878,0.5361702127659574,0.8641975308641975,0.1385767790262172,0.7351351351351352,0.675531914893617,0.7757575757575758,0.4897959183673469,0.2343096234309623,0.5751295336787565,0.7578947368421053,0.6933333333333334,0.5133079847908745,0.5017064846416383,0.8692307692307693,0.826645264847512,0.543778801843318,0.8125,0.5960591133004927,0.3505747126436782,0.6170212765957447,0.6629834254143646,0.6303317535545023,0.6022727272727273,0.6032608695652174,0.2678936605316973,0.6596858638743456,0.643979057591623,0.6611111111111111,0.6766467065868264,0.4896265560165975,0.4836065573770491,0.6802325581395349,0.5469387755102041,0.6737967914438503,0.9694656488549618,0.6309523809523809,0.6216216216216216,0.5662100456621004,0.703030303030303,0.7831325301204819,0.611764705882353,0.5130434782608696,0.5543478260869565,0.7516339869281046,0.7904191616766467,0.5954545454545455,0.6263736263736264,0.6612244897959184,0.6488888888888888,0.57847533632287,0.3474576271186441
align-dinov2+500m-things+hyp-abl30-7-random,0.8276955602536998,0.0,0.9125475285171104,0.6949152542372882,0.6692913385826772,0.9274193548387096,0.9465478841870824,0.8762886597938144,0.9019607843137256,0.7941176470588235,0.8037383177570093,0.9083665338645418,0.8859649122807017,0.8316831683168316,0.8850574712643678,0.7769784172661871,0.717391304347826,0.9219858156028368,0.8535031847133758,0.8348623853211009,0.9320388349514565,0.6136363636363636,0.7377049180327869,0.7372881355932204,0.6846153846153846,0.8448275862068966,0.931372549019608,0.8558558558558559,0.7655502392344498,0.7317073170731707,0.7314814814814815,0.7171717171717171,0.7272727272727273,0.8468468468468469,0.8991596638655462,0.84,0.810126582278481,0.7928571428571428,0.9342105263157896,0.8118811881188119,0.84472049689441,0.7403846153846154,0.693069306930693,0.8653846153846154,0.71875,0.7843137254901961,0.8776978417266187,0.7326732673267327,0.8888888888888888,0.8938053097345132,0.8297872340425532,0.9274193548387096,0.6928571428571428,0.8942307692307693,0.8486486486486486
align-dinov2+500m-things+hyp-abl90-42-random,0.5772346925222474,0.0,0.2817796610169492,0.5573122529644269,0.5390946502057613,0.610909090909091,0.449438202247191,0.751269035532995,0.7067307692307693,0.7944444444444444,0.5265306122448979,0.488659793814433,0.729064039408867,0.4833759590792839,0.6794871794871795,0.5755395683453237,0.5732899022801303,0.6629213483146067,0.4827935222672064,0.7074235807860262,0.728110599078341,0.6026200873362445,0.476056338028169,0.6854460093896714,0.681592039800995,0.6607929515418502,0.6197916666666666,0.6142131979695431,0.6638477801268499,0.6226415094339622,0.6566523605150214,0.6836734693877551,0.7015706806282722,0.4809160305343511,0.4538461538461538,0.656084656084656,0.5779467680608364,0.5461254612546126,0.8220858895705522,0.657608695652174,0.5709459459459459,0.5949367088607594,0.7037037037037037,0.7914438502673797,0.6344086021505376,0.5366795366795367,0.5704697986577181,0.6754385964912281,0.3644067796610169,0.7112068965517241,0.6915422885572139,0.5801526717557252,0.5163636363636364,0.7468879668049793,0.4253521126760563
align-dinov2+500m-things+hyp-abl40cat-42-random,0.5606083883853127,0.0,0.2622222222222222,0.543859649122807,0.5319148936170213,0.5555555555555556,0.1747815230961298,0.7675675675675676,0.6808510638297872,0.8181818181818182,0.4979591836734693,0.2301255230125523,0.6113989637305699,0.6035087719298246,0.68,0.5095057034220533,0.5017064846416383,0.7846153846153846,0.8715890850722311,0.5668202764976958,0.7788461538461539,0.5615763546798029,0.3505747126436782,0.6329787234042553,0.6629834254143646,0.6350710900473934,0.6477272727272727,0.6032608695652174,0.3312883435582822,0.6596858638743456,0.7486910994764397,0.6611111111111111,0.6706586826347305,0.4564315352697095,0.4590163934426229,0.6744186046511628,0.5510204081632653,0.7058823529411765,0.9083969465648856,0.6309523809523809,0.6702702702702703,0.5570776255707762,0.6484848484848484,0.7530120481927711,0.611764705882353,0.5130434782608696,0.5615942028985508,0.8169934640522876,0.8083832335329342,0.5954545454545455,0.6373626373626373,0.6448979591836734,0.5733333333333334,0.7668161434977578,0.3644067796610169
align-dinov2+1b-things+hyp-abl30-218-random,0.8403805496828752,0.0,0.9505703422053232,0.7457627118644068,0.7401574803149606,0.9193548387096774,0.9732739420935412,0.9175257731958762,0.9019607843137256,0.8529411764705882,0.8878504672897196,0.852589641434263,0.912280701754386,0.8366336633663366,0.8735632183908046,0.8848920863309353,0.7898550724637681,0.8723404255319149,0.8152866242038217,0.8990825688073395,0.9223300970873788,0.6590909090909091,0.7814207650273224,0.711864406779661,0.7846153846153846,0.8706896551724138,0.9215686274509804,0.8468468468468469,0.7894736842105263,0.902439024390244,0.7314814814814815,0.7676767676767676,0.7272727272727273,0.918918918918919,0.8235294117647058,0.82,0.7784810126582279,0.8,0.881578947368421,0.8118811881188119,0.7950310559006211,0.8365384615384616,0.7326732673267327,0.8269230769230769,0.7916666666666666,0.7156862745098039,0.9136690647482014,0.7128712871287128,0.905982905982906,0.8938053097345132,0.8723404255319149,0.9032258064516128,0.7142857142857143,0.8653846153846154,0.8054054054054054
align-dinov2+1b-things+hyp-abl40cat-218-random,0.5545398678752497,0.0,0.2622222222222222,0.5482456140350878,0.5361702127659574,0.7592592592592593,0.1560549313358302,0.7351351351351352,0.6648936170212766,0.8484848484848485,0.4897959183673469,0.2133891213389121,0.5803108808290155,0.7263157894736842,0.5955555555555555,0.5095057034220533,0.5085324232081911,0.9,0.8378812199036918,0.576036866359447,0.7548076923076923,0.5763546798029556,0.3477011494252873,0.6329787234042553,0.6629834254143646,0.6445497630331753,0.6647727272727273,0.6141304347826086,0.2678936605316973,0.6492146596858639,0.7015706806282722,0.6611111111111111,0.6766467065868264,0.4688796680497925,0.5,0.6802325581395349,0.5469387755102041,0.6631016042780749,0.9465648854961832,0.6309523809523809,0.6054054054054054,0.5707762557077626,0.7333333333333333,0.7108433734939759,0.611764705882353,0.5043478260869565,0.5833333333333334,0.7189542483660131,0.844311377245509,0.5954545454545455,0.6428571428571429,0.5755102040816327,0.5866666666666667,0.5829596412556054,0.3333333333333333
align-dinov2+500m-things+hyp-abl10cat-42-random,0.5873751783166904,0.0,0.8536585365853658,0.7702702702702703,0.3575757575757576,0.2947368421052631,0.6887417218543046,1.0,0.4594594594594595,0.8372093023255814,0.9555555555555556,0.0909090909090909,0.9787234042553192,0.7792207792207793,0.8541666666666666,0.7282608695652174,0.7529411764705882,0.9636363636363636,0.8302469135802469,0.3666666666666666,0.9444444444444444,0.475,0.8709677419354839,0.9420289855072465,0.9661016949152542,0.782051282051282,0.5977011494252874,0.9772727272727272,0.1280788177339901,0.8636363636363636,0.7936507936507936,0.8461538461538461,0.5595238095238095,0.9629629629629628,0.9574468085106383,0.8035714285714286,0.3333333333333333,0.8571428571428571,0.925925925925926,0.5393258426966292,0.8352941176470589,0.6867469879518072,0.4752475247524752,0.8771929824561403,0.7058823529411765,0.7627118644067796,0.4271356783919598,0.75,0.8223684210526315,0.3768115942028985,0.4444444444444444,0.9454545454545454,0.5785714285714286,0.4810126582278481,0.8969072164948454
align-dinov2+500m-things+hyp-abl10-7-random,0.8874364560639071,0.0,0.9204545454545454,0.7,0.8695652173913043,0.9807692307692308,0.9791666666666666,0.8235294117647058,0.9705882352941176,0.96875,0.75,0.9438202247191012,0.8490566037735849,0.8666666666666667,0.9649122807017544,0.8392857142857143,0.8863636363636364,0.9423076923076924,0.9772727272727272,0.8974358974358975,0.9428571428571428,0.765625,0.7916666666666666,0.7450980392156863,0.8461538461538461,0.8444444444444444,0.9615384615384616,0.9393939393939394,0.8571428571428571,0.8536585365853658,0.902439024390244,0.9090909090909092,0.9117647058823528,0.9393939393939394,0.9,1.0,0.9482758620689656,0.7428571428571429,0.8695652173913043,0.9487179487179488,0.8666666666666667,0.7547169811320755,0.7575757575757576,0.9347826086956522,0.8518518518518519,0.6666666666666666,0.9076923076923076,0.8913043478260869,0.9519230769230768,0.8292682926829268,0.896551724137931,1.0,0.8301886792452831,0.9615384615384616,0.8524590163934426
align-dinov2+1b-things+hyp-abl90-42-random,0.5675388497808473,0.0,0.423728813559322,0.5335968379446641,0.5390946502057613,0.6254545454545455,0.2871410736579275,0.5583756345177665,0.6778846153846154,0.7888888888888889,0.6653061224489796,0.5010309278350515,0.645320197044335,0.3836317135549872,0.7384615384615385,0.6151079136690647,0.5732899022801303,0.6179775280898876,0.4989878542510121,0.6724890829694323,0.8709677419354839,0.62882096069869,0.4816901408450704,0.6901408450704225,0.6169154228855721,0.6431718061674009,0.640625,0.5583756345177665,0.5496828752642706,0.6698113207547169,0.6738197424892703,0.6122448979591837,0.581151832460733,0.4847328244274809,0.5307692307692308,0.6825396825396826,0.5741444866920152,0.6088560885608856,0.8711656441717791,0.6086956521739131,0.5777027027027027,0.5949367088607594,0.6825396825396826,0.7967914438502673,0.6236559139784946,0.555984555984556,0.5268456375838926,0.5657894736842105,0.4088983050847458,0.6508620689655172,0.6716417910447762,0.5229007633587787,0.5381818181818182,0.7095435684647303,0.4845070422535211
align-dinov2+500m-things+hyp-abl30cat-218-random,0.5756544502617801,0.0,0.847457627118644,0.5118483412322274,0.4788732394366197,0.8214285714285714,0.6804347826086956,0.6835443037974683,0.653179190751445,0.8040540540540541,0.8431372549019608,0.8187702265372169,0.5737704918032787,0.6538461538461539,0.7518248175182481,0.4798387096774194,0.4690909090909091,0.5063829787234042,0.3730886850152905,0.8145161290322581,0.9224806201550388,0.5274725274725275,0.3053892215568862,0.6057142857142858,0.6453488372093024,0.6102564102564103,0.75,0.8712871287128713,0.2317596566523605,0.6428571428571429,0.5510204081632653,0.7878787878787878,0.6794871794871795,0.7261146496815286,0.448559670781893,0.824,0.5152838427947598,0.4647302904564315,0.8148148148148148,0.8319327731092437,0.7150837988826816,0.7133333333333334,0.726027397260274,0.803680981595092,0.5796178343949044,0.7297297297297297,0.5095785440613027,0.54,0.2454954954954954,0.7428571428571429,0.6127167630057804,0.5210084033613446,0.4327731092436975,0.6289592760180995,0.6479400749063671
