run_name,overall,total_illegal_ratio,musical,clothing accessory,electronic device,sports equipment,home appliance,game,tool,piece of women's clothing,vehicle,animal,outerwear,piece of jewelry,farm animal,mammal,hardware item,garden tool,body part,dessert,weapon,furniture,school supply,construction equipment,container,toy,medical equipment,breakfast food,vegetable,source of light,scientific equipment,arts and crafts item,food,drink,insect,candy,item of clothing,condiment,fruit,bird,kitchen tool,home decor item,safety equipment,sea animal,watercraft,seafood,office supply item,personal hygiene item,kitchen appliance,footwear,plant,protective clothing item,car part,fastener,headwear
align-dinov2+1b-things+hyp-abl10cat-42,0.9971039448966812,0.0,1.0,1.0,0.99438202247191,0.9927184466019418,0.9926739926739928,1.0,0.9978260869565218,1.0,0.9927710843373494,1.0,1.0,1.0,1.0,1.0,0.9925742574257426,,0.9937106918238994,,0.9869281045751634,,1.0,0.9885057471264368,,0.9890909090909092,1.0,,1.0,1.0,,0.9931972789115646,1.0,0.9923076923076924,1.0,0.9959016393442623,,0.9950248756218906,1.0,1.0,0.9912280701754386,1.0,0.9960629921259844,,1.0,1.0,1.0,,1.0,1.0,0.9966442953020134,0.9896373056994818,,1.0,1.0
align-siglip+500m-things+hyp-abl90-42,0.9939024390243902,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,,1.0,1.0,0.6666666666666666,1.0,0.96,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
align-siglip+500m-things+hyp-abl70-42,0.9975296442687748,0.0,1.0,1.0,0.9846153846153848,1.0,1.0,1.0,0.9629629629629628,1.0,0.989010989010989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9772727272727272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-siglip+1b-things+hyp-abl90-218,0.9613821138211384,0.0,1.0,1.0,1.0,1.0,0.7272727272727273,1.0,,1.0,1.0,1.0,,0.8571428571428571,1.0,,0.9333333333333332,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.945945945945946,1.0,1.0,,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.6666666666666666,0.9,1.0,0.8333333333333334,1.0,1.0,1.0,,,1.0,1.0,0.8333333333333334,1.0,1.0,,1.0,1.0,1.0
align-siglip+1b-things+hyp-abl70-7,0.9995059288537548,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9772727272727272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl20cat-218,0.9965024482861996,0.0,,0.9891304347826086,1.0,,0.9963369963369964,0.981042654028436,,0.9960474308300395,,1.0,1.0,0.99009900990099,1.0,,,1.0,0.9937106918238994,0.9926739926739928,0.9869281045751634,1.0,1.0,,0.9869281045751634,,,,1.0,0.9957264957264956,,0.9931972789115646,0.9990176817288802,1.0,,0.9959016393442623,0.9980544747081712,,0.9961089494163424,1.0,0.9956140350877192,,1.0,,1.0,,,,0.9953488372093025,1.0,0.9966442953020134,,0.9955156950672646,,1.0
align-dinov2+500m-things+hyp-abl70-218,0.9975296442687748,0.0,1.0,1.0,1.0,0.9887640449438202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9772727272727272,0.9891304347826086,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-siglip+500m-things+hyp-abl70-7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinosiglip+1b-llama-things+hyp-abl70-7,0.9970355731225296,0.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,0.9891304347826086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl50-7,0.9981957600360848,0.0,1.0,1.0,0.991150442477876,1.0,1.0,1.0,0.9904761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917355371900828,1.0,1.0,1.0,0.989010989010989,1.0,1.0,0.9863013698630136,0.9950738916256158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9886363636363636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487804,1.0,1.0,1.0,1.0
