run_name,overall,total_illegal_ratio,mammal,body part,animal,hardware item,musical,clothing accessory,electronic device,sports equipment,home appliance,game,furniture,tool,piece of women's clothing,car part,footwear,vehicle,watercraft,vegetable,outerwear,food,seafood,weapon,piece of jewelry,farm animal,insect,plant,garden tool,fruit,source of light,office supply item,protective clothing item,dessert,item of clothing,drink,medical equipment,bird,container,arts and crafts item,home decor item,kitchen appliance,headwear,school supply,construction equipment,kitchen tool,breakfast food,sea animal,toy,fastener,scientific equipment,candy,personal hygiene item,safety equipment,condiment
align-siglip+1b-things-42,0.8239714686027257,0.0,0.8541666666666666,0.7358490566037735,0.9329962073324906,0.6831683168316832,0.8745387453874539,0.9057971014492754,0.9297752808988764,0.6359223300970874,0.8754578754578755,0.7251184834123223,0.776173285198556,0.8978260869565218,0.8735177865612648,0.7668161434977578,0.7844036697247706,0.9036144578313252,0.9210526315789472,0.8762886597938144,0.8744588744588745,0.9223968565815324,0.640625,0.7679738562091504,0.7772277227722773,0.8245614035087719,0.883248730964467,0.8154362416107382,0.7574257425742574,0.926070038910506,0.5982905982905983,0.6666666666666666,0.844559585492228,0.9523809523809524,0.9319066147859922,0.7615384615384615,0.7272727272727273,0.9285714285714286,0.8278867102396514,0.54421768707483,0.839041095890411,0.9023255813953488,0.8717948717948718,0.710204081632653,0.6283524904214559,0.8201754385964912,0.8870967741935484,0.9090909090909092,0.7636363636363637,0.8048780487804879,0.7226890756302521,0.7868852459016393,0.6736401673640168,0.8070866141732284,0.8855721393034826
align-dinosiglip+1b-things+hyp-abl50-42,0.8704295349662762,0.0,0.9672131147540984,0.7153846153846154,0.96964586846543,0.8091872791519434,0.8841463414634146,0.8578431372549019,0.934156378600823,0.8138686131386861,0.8840579710144928,0.8,0.9303482587064676,0.8929577464788733,0.8693181818181818,0.7924528301886793,0.6514285714285715,0.9299610894941636,0.95906432748538,0.971563981042654,0.8554913294797688,0.9375,0.5157232704402516,0.7767441860465116,0.8015267175572519,0.8100558659217877,0.9246575342465754,0.8935185185185185,0.8445945945945946,0.883248730964467,0.8380281690140845,0.9148936170212766,0.8445945945945946,0.9797979797979798,0.9493333333333334,0.8662790697674418,0.6994219653179191,0.9422222222222222,0.90234375,0.8544600938967136,0.7921348314606742,0.8654970760233918,0.8651685393258427,0.7796610169491526,0.7606382978723404,0.8994082840236687,0.9398907103825136,0.8557692307692307,0.7888888888888889,0.8873239436619719,0.7543859649122807,0.9273743016759776,0.8944099378881988,0.7684729064039408,0.8985507246376812
align-dinov2+1b-things+hyp-abl10-42,0.928462709284627,0.0,0.9292929292929292,0.90625,0.9924242424242424,0.8490566037735849,1.0,1.0,0.9454545454545454,0.7931034482758621,1.0,0.8571428571428571,1.0,0.9545454545454546,0.8888888888888888,1.0,0.972972972972973,0.9491525423728814,0.9166666666666666,0.9838709677419356,0.92,0.9615384615384616,0.7857142857142857,0.8775510204081632,0.6666666666666666,0.9375,0.8846153846153846,0.8947368421052632,1.0,0.935483870967742,1.0,0.9310344827586208,1.0,0.9375,1.0,1.0,0.8636363636363636,1.0,0.9104477611940298,0.8085106382978723,0.7666666666666667,0.84375,0.9722222222222222,0.967741935483871,0.8936170212765957,1.0,0.95,0.9814814814814816,0.9111111111111112,0.8857142857142857,0.7777777777777778,0.8947368421052632,0.7291666666666666,1.0,0.9090909090909092
align-dinosiglip+1b-llama-chat-things+hyp-abl70-218,0.8700102354145343,0.0,0.9266666666666666,0.837037037037037,0.9511173184357542,0.8397626112759644,0.7422222222222222,0.9563492063492064,0.9381443298969072,0.8730650154798761,0.8769230769230769,0.8511904761904762,0.9434782608695652,0.9122401847575058,0.918552036199095,0.78125,0.7932692307692307,0.9783950617283952,0.9669811320754716,0.9074074074074074,0.94,0.9265536723163842,0.5674157303370787,0.87109375,0.7415730337078652,0.7969543147208121,0.9693251533742332,0.8754863813229572,0.8457446808510638,0.8363636363636363,0.8548387096774194,0.8324324324324325,0.8860759493670886,0.9598393574297188,0.9868995633187772,0.8073394495412844,0.6780487804878049,0.9356060606060606,0.8991825613079019,0.8333333333333334,0.7637130801687764,0.9375,0.8813559322033898,0.7568807339449541,0.728110599078341,0.7207207207207207,0.8504672897196262,0.9218106995884774,0.8504273504273504,0.8449197860962567,0.6476190476190476,0.7945205479452054,0.8426395939086294,0.8558558558558559,0.8595505617977528
align-dinov2+500m-things+hyp-abl30cat-218,0.8451240623196768,0.0,,0.7358490566037735,,,,0.9565217391304348,,0.6699029126213593,0.6923076923076923,0.6255924170616114,,0.9195652173913044,0.9407114624505928,,,,,0.9243986254295532,0.9004329004329005,0.8939096267190569,,,,0.8245614035087719,0.964467005076142,,,0.9299610894941636,,0.7743589743589744,,0.9743589743589745,,,,0.9489795918367347,0.8605664488017429,0.7074829931972789,0.7945205479452054,0.6837209302325581,,0.8857142857142857,0.8352490421455939,0.8026315789473685,0.9193548387096774,0.984189723320158,,0.8585365853658536,0.7058823529411765,0.8073770491803278,,0.8307086614173228,0.7711442786069652
align-dinov2+500m-things+hyp-abl70-7-random,0.6149290831992982,0.0,0.7422222222222222,0.2518518518518518,0.8938547486033519,0.5489614243323442,0.4577777777777778,0.5793650793650794,0.7731958762886598,0.6222910216718266,0.5230769230769231,0.5297619047619048,0.5434782608695652,0.5681293302540416,0.755656108597285,0.5625,0.625,0.654320987654321,0.4292452830188679,0.6481481481481481,0.34,0.8700564971751412,0.550561797752809,0.5390625,0.6235955056179775,0.6598984771573604,0.5276073619631901,0.5214007782101168,0.5,0.6863636363636364,0.5161290322580645,0.3891891891891892,0.5886075949367089,0.5060240963855421,0.7314410480349345,0.7247706422018348,0.6634146341463415,0.6174242424242424,0.7138964577656676,0.5476190476190477,0.6413502109704642,0.4583333333333333,0.5423728813559322,0.7293577981651376,0.5622119815668203,0.481981981981982,0.4532710280373832,0.522633744855967,0.4444444444444444,0.5775401069518716,0.3904761904761905,0.6164383561643836,0.4873096446700508,0.545045045045045,0.6235955056179775
align-dinov2+1b-llama-chat-things-42,0.6259075277034772,0.0,0.8416666666666667,0.7358490566037735,0.324905183312263,0.5891089108910891,0.5904059040590406,0.7355072463768116,0.8174157303370787,0.5121359223300971,0.7032967032967034,0.5402843601895735,0.7653429602888087,0.6543478260869565,0.5968379446640316,0.6905829596412556,0.4174311926605504,0.7397590361445783,0.6535087719298246,0.7869415807560137,0.6233766233766234,0.4518664047151277,0.6145833333333334,0.6339869281045751,0.6534653465346535,0.8026315789473685,0.8883248730964467,0.8120805369127517,0.5346534653465347,0.6926070038910506,0.6623931623931624,0.4974358974358974,0.5284974093264249,0.8168498168498168,0.6945525291828794,0.7769230769230769,0.6022727272727273,0.6598639455782312,0.7298474945533769,0.6938775510204082,0.6472602739726028,0.6139534883720931,0.6564102564102564,0.6489795918367347,0.5019157088122606,0.4517543859649123,0.5524193548387096,0.6007905138339921,0.5709090909090909,0.6097560975609756,0.5,0.6475409836065574,0.5648535564853556,0.6181102362204725,0.5124378109452736
align-siglip+500m-things+hyp-abl70-218,0.8153969878637227,0.0,0.9155555555555556,0.7111111111111111,0.9301675977653632,0.744807121661721,0.76,0.8492063492063492,0.8797250859106529,0.8575851393188855,0.8653846153846154,0.8095238095238095,0.782608695652174,0.7205542725173211,0.8009049773755657,0.828125,0.6730769230769231,0.9567901234567902,0.8632075471698113,0.8962962962962963,0.755,0.9751412429378532,0.5617977528089888,0.8359375,0.6629213483146067,0.8324873096446701,0.8711656441717791,0.7042801556420234,0.7021276595744681,0.8363636363636363,0.7473118279569892,0.7297297297297297,0.7848101265822784,0.927710843373494,0.9235807860262008,0.7660550458715596,0.7414634146341463,0.9090909090909092,0.8474114441416893,0.6507936507936508,0.7510548523206751,0.78125,0.7231638418079096,0.8165137614678899,0.8617511520737328,0.6441441441441441,0.8411214953271028,0.8518518518518519,0.5170940170940171,0.7433155080213903,0.6714285714285714,0.7488584474885844,0.8578680203045685,0.8603603603603603,0.7584269662921348
align-siglip+1b-llama-chat-things+hyp-abl30-218,0.9392847611422472,0.0,0.9566787003610108,0.9130434782608696,1.0,0.8808290155440415,1.0,0.9407407407407408,0.9746835443037974,0.951219512195122,0.992248062015504,0.8115942028985508,0.9253731343283582,0.967479674796748,0.9322033898305084,0.9456521739130436,0.897196261682243,0.940828402366864,0.9891304347826086,1.0,0.9423076923076924,0.9631236442516268,0.9396551724137931,0.8194444444444444,0.9655172413793104,0.8897058823529411,0.9444444444444444,0.9453125,0.913793103448276,0.9236641221374046,0.918918918918919,0.8918918918918919,0.9080459770114944,0.9833333333333332,0.9920948616600792,0.9918032786885246,0.9642857142857144,0.958041958041958,0.945,0.943089430894309,0.7916666666666666,0.925531914893617,0.9156626506024096,1.0,0.8837209302325582,0.968,0.9448818897637796,1.0,0.9361702127659576,0.9651162790697676,0.7241379310344828,0.9615384615384616,0.8723404255319149,0.832,0.9587628865979382
align-dinov2+500m-things+hyp-abl30-218-random,0.7991726714705097,0.0,0.924187725631769,0.855072463768116,0.9535452322738386,0.7512953367875648,0.6779661016949152,0.8148148148148148,0.8544303797468354,0.75,0.875968992248062,0.7101449275362319,0.5149253731343284,0.8902439024390244,0.923728813559322,0.8152173913043478,0.794392523364486,0.621301775147929,0.7717391304347826,0.6585365853658537,0.8365384615384616,0.9067245119305856,0.853448275862069,0.6319444444444444,0.8706896551724138,0.7279411764705882,0.8888888888888888,0.78125,0.9051724137931034,0.7633587786259542,0.7477477477477478,0.7747747747747747,0.7241379310344828,0.8583333333333333,0.932806324110672,0.8114754098360656,0.6071428571428571,0.7972027972027972,0.73,0.8943089430894309,0.65,0.8936170212765957,0.6626506024096386,0.7181818181818181,0.7364341085271318,0.752,0.8110236220472441,0.825503355704698,0.6879432624113475,0.7790697674418605,0.6137931034482759,0.8846153846153846,0.7021276595744681,0.744,0.8144329896907216
