run_name,air mattress,aircraft carrier,airplane,ambulance,ashtray,asparagus,axe,backpack,ballot box,banana split,bandage,bandanna,baseball bat,basket,bassinet,baton,bazooka,beanbag,bedpan,bell pepper,belt,belt buckle,bench,binder,bird,birthday cake,blowtorch,boa,boat,bolo tie,bonnet,book,bookshelf,box,brace,bracelet,brass knuckles,breadbox,buckle,bullet,bunkbed,button,cake mix,calculator,camper,cane,cannon,cannonball,canoe,caramel,cardinal,cart,cauliflower,celery,chalk,chalkboard,cheesecake,chickpea,chocolate,coat rack,cockatoo,coffee pot,coffin,container,cookie,cot,couch,counter,crate,crayon,creme brulee,crib,crossbow,crow,crowbar,cruise ship,crutch,cucumber,cufflink,cupcake,defibrillator,dessert,duck,duckling,earring,eggplant,eraser,eyedropper,filing cabinet,firetruck,flamethrower,flamingo,flan,fountain pen,fruitcake,fudge,garlic,go-kart,goose,gourd,green beans,gun,gurney,handkerchief,hawk,hearing aid,highchair,highlighter,hot tub,hummingbird,ice pack,ice-cream cone,inhaler,insole,jalapeno,jar,kale,loveseat,machine gun,marker,matchbox,milkshake,minivan,mitten,motorcycle,muff,nightstand,notebook,notepad,okra,owl,paperclip,parfait,parrot,parsley,peacock,pelican,pen,pencil,pencil sharpener,penguin,penlight,pheasant,pie,pigeon,pillbox,pitcher,pitchfork,plaster cast,pocketknife,police car,popsicle,potato,pumpkin,purse,radish,raft,razor blade,revolver,roadsweeper,rocking chair,ruler,scallion,scarf,seagull,shawl,ship,shopping basket,sled,sling,sombrero,sorbet,spinach,stapler,steamroller,step stool,stethoscope,swab,sweet potato,syringe,table,teapot,tent,thermos,throne,toucan,trident,tweezers,van,vial,vulture,watch,wedding cake,wheelchair,whip,whiteboard,wineglass,wok,workbench,yacht
align-dinov2+500m-things-cat-sampled-218,1.0,1.0,1.0,0.8888888888888888,0.905982905982906,1.0,1.0,1.0,0.873015873015873,1.0,1.0,1.0,1.0,0.8831168831168831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8888888888888888,0.4444444444444444,0.7916666666666667,1.0,1.0,0.75,0.7619047619047619,0.8375,1.0,1.0,0.905982905982906,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.696969696969697,1.0,1.0,0.9111111111111112,1.0,1.0,0.8888888888888888,0.8831168831168831,1.0,1.0,1.0,1.0,0.7777777777777777,0.873015873015873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,1.0,0.8545454545454545,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.7619047619047619,0.8444444444444444,0.6,1.0,1.0,1.0,0.873015873015873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.7777777777777777,1.0,1.0,0.7777777777777777,1.0,0.873015873015873,1.0,0.8952380952380952,0.8888888888888888,0.898989898989899,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.7708333333333333,1.0,0.8285714285714285,1.0,0.873015873015873,0.7777777777777777,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8545454545454545,1.0,0.8444444444444444,1.0,0.873015873015873,1.0,0.7619047619047619,0.8444444444444444,1.0,1.0,0.7636363636363637,1.0,1.0,1.0,0.7916666666666667,1.0,1.0,1.0,1.0,0.775,0.8901098901098901,1.0,0.7619047619047619,1.0,1.0,1.0,0.905982905982906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9111111111111112,1.0,1.0,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,0.898989898989899,1.0,0.75,0.7916666666666667,0.7916666666666667,1.0,0.7083333333333333,0.775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.898989898989899,0.7619047619047619,1.0,0.8831168831168831,0.8615384615384616,1.0,0.8888888888888888,0.8831168831168831,1.0,0.873015873015873,1.0,1.0,1.0,1.0,1.0,0.7777777777777777,0.8285714285714285
align-dinov2+500m-things-cat-sampled-42,1.0,0.8615384615384616,0.8901098901098901,0.8888888888888888,0.905982905982906,1.0,1.0,1.0,0.7333333333333334,1.0,1.0,1.0,1.0,0.775,1.0,0.8285714285714285,0.8444444444444444,1.0,0.873015873015873,1.0,1.0,1.0,1.0,1.0,1.0,0.8831168831168831,0.8285714285714285,0.8888888888888888,0.4444444444444444,1.0,1.0,1.0,0.873015873015873,0.7619047619047619,1.0,1.0,0.8991596638655461,0.905982905982906,1.0,1.0,0.775,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.7948717948717949,1.0,0.8888888888888888,0.8831168831168831,0.8888888888888888,0.7619047619047619,1.0,1.0,0.7777777777777777,0.7333333333333334,1.0,0.8571428571428571,1.0,1.0,1.0,0.8444444444444444,0.898989898989899,1.0,0.905982905982906,1.0,1.0,0.8545454545454545,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.65,1.0,1.0,0.8035714285714286,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.905982905982906,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.8888888888888888,0.898989898989899,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8952380952380952,0.8888888888888888,1.0,1.0,0.873015873015873,1.0,1.0,0.775,0.8901098901098901,1.0,0.8545454545454545,1.0,0.8444444444444444,0.873015873015873,0.75,1.0,0.7619047619047619,0.8444444444444444,1.0,1.0,0.9230769230769232,1.0,0.873015873015873,0.8285714285714285,0.8,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8545454545454545,1.0,0.898989898989899,1.0,1.0,1.0,0.873015873015873,0.915032679738562,1.0,1.0,1.0,1.0,1.0,0.8285714285714285,0.898989898989899,1.0,1.0,0.8888888888888888,0.7272727272727273,1.0,0.8444444444444444,1.0,1.0,1.0,0.873015873015873,0.696969696969697,0.8666666666666667,0.8,0.8571428571428571,0.8888888888888888,1.0,0.898989898989899,0.8285714285714285,0.8831168831168831,1.0,1.0,1.0,1.0,0.898989898989899,0.8444444444444444,0.6703296703296704,0.7619047619047619,1.0,0.6785714285714286,0.6493506493506493,1.0,0.775,0.8831168831168831,1.0,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,0.7777777777777777,0.625
align-dinov2+500m-things-cat-sampled-7,0.7272727272727273,1.0,1.0,0.8888888888888888,1.0,0.7619047619047619,1.0,1.0,0.873015873015873,1.0,1.0,1.0,0.8285714285714285,0.775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,0.873015873015873,1.0,1.0,1.0,1.0,1.0,0.8285714285714285,0.8888888888888888,1.0,1.0,1.0,1.0,0.8901098901098901,0.7083333333333333,1.0,1.0,0.8545454545454545,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.8285714285714285,1.0,1.0,1.0,1.0,1.0,0.65,0.873015873015873,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.7619047619047619,0.8444444444444444,1.0,1.0,0.905982905982906,0.8452380952380952,1.0,1.0,1.0,1.0,1.0,1.0,0.8545454545454545,1.0,1.0,1.0,1.0,0.8285714285714285,0.7619047619047619,0.7777777777777777,1.0,1.0,0.8285714285714285,1.0,0.873015873015873,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8705882352941177,1.0,0.6666666666666666,0.611764705882353,0.873015873015873,1.0,1.0,0.775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.9230769230769232,0.9212121212121211,1.0,1.0,0.898989898989899,0.8285714285714285,1.0,1.0,1.0,1.0,0.7619047619047619,1.0,1.0,0.898989898989899,1.0,1.0,1.0,0.873015873015873,0.8194444444444444,1.0,1.0,0.8545454545454545,1.0,1.0,0.8285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.873015873015873,0.7916666666666667,1.0,0.7619047619047619,1.0,0.8888888888888888,1.0,0.696969696969697,1.0,0.8831168831168831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7619047619047619,1.0,0.8615384615384616,1.0,0.905982905982906,0.775,0.8831168831168831,0.7777777777777777,1.0,1.0,1.0,0.8831168831168831,0.7777777777777777,1.0,1.0,0.625
