experiment,lm,depth,ablation_type,random,n,sd,conf,acc
Held-Out Hypernyms,Qwen3-0.6B,1,Full,FALSE,123,0.16474361388998565,0.029405830624117092,0.7587843494869965
Held-Out Hypernyms,Qwen3-0.6B,2,Full,FALSE,27,0.1835711223945766,0.07261831745309255,0.7248416654994776
Held-Out Hypernyms,Qwen3-0.6B,3,Full,FALSE,9,0.14527688719295898,0.1116697008721842,0.5536755504220994
Held-Out Hypernyms,Qwen3-1.7B,1,Full,FALSE,123,0.1635225145720494,0.029187871099795634,0.7596802385789243
Held-Out Hypernyms,Qwen3-1.7B,2,Full,FALSE,27,0.14661699253418875,0.05799975055433869,0.7469793975703795
Held-Out Hypernyms,Qwen3-1.7B,3,Full,FALSE,9,0.13622145185822992,0.10470907709619783,0.5596204379727476
