run_name,animal,arts and crafts item,bird,body part,breakfast food,candy,car part,clothing accessory,condiment,construction equipment,container,dessert,drink,electronic device,farm animal,fastener,food,footwear,fruit,furniture,game,garden tool,hardware item,headwear,home appliance,home decor item,insect,item of clothing,kitchen appliance,kitchen tool,mammal,medical equipment,musical,office supply item,outerwear,personal hygiene item,piece of jewelry,piece of women's clothing,plant,protective clothing item,safety equipment,school supply,scientific equipment,sea animal,seafood,source of light,sports equipment,tool,toy,vegetable,vehicle,watercraft,weapon
align-dinov2+1b-things+hyp-abl10-218,1.0,0.7566959721938253,1.0,0.8083333333333333,0.9801753717117804,0.9520833333333334,0.9015151515151516,0.846376811594203,0.8974358974358975,0.6179966044142615,0.9453900709219858,0.9527272727272726,0.9206349206349206,0.96,0.8655172413793104,0.8703352308665402,0.9602619101377284,1.0,0.8974358974358975,0.974987974987975,0.46875,0.7847826086956522,0.8184523809523809,0.973232669869595,0.9104573073233132,0.84363894811656,0.980435585086748,0.942948717948718,0.975551580202743,0.8174603174603174,0.9865009970854426,0.695752009184845,0.8566308243727598,0.7267857142857144,0.935969868173258,0.8619528619528619,1.0,1.0,0.9345238095238096,0.8373205741626795,0.7545454545454545,0.9282296650717704,0.7667342799188641,0.9644607843137256,0.8431372549019608,1.0,0.875,0.969047619047619,0.75,1.0,1.0,1.0,0.8611111111111112
align-dinov2+1b-things+hyp-abl10-218-random,0.9851714550509733,0.7142857142857143,0.9688269073010664,0.4523809523809524,0.9801753717117804,0.97567424643046,0.9470827679782904,0.8816964285714286,0.9451114922813036,0.7181964573268921,0.9321346730125156,0.8885077186963979,1.0,0.9198717948717948,0.6285714285714286,0.7410526315789474,0.9363011219688744,1.0,0.8375,0.9487179487179488,0.46875,0.8565217391304347,0.8346883468834688,0.972554539057002,0.8177083333333333,0.9352941176470588,0.8738095238095238,0.9553884711779448,0.8225108225108224,0.823076923076923,0.9003961516694963,0.6374245472837021,0.6536796536796536,0.6222222222222222,1.0,0.9136842105263158,1.0,0.8791666666666667,0.9365384615384617,0.7655172413793103,0.7145877378435518,0.8500000000000001,0.886977886977887,0.8784067085953878,0.8123167155425219,1.0,0.7261956998683634,0.926708949964764,0.8581932773109244,0.939783219590526,0.9646401985111664,1.0,0.7767857142857142
align-dinov2+1b-things+hyp-abl10-42,1.0,0.7853199754651401,1.0,0.6166666666666667,0.9396051103368176,0.97567424643046,0.953846153846154,0.846376811594203,0.9451114922813036,0.7799119647859143,0.9864269346025032,0.9531362653208364,0.8588709677419355,0.9465811965811964,0.8655172413793104,0.8703352308665402,0.974025974025974,1.0,0.91875,1.0,0.46875,0.7708333333333333,0.8024727700912571,0.9458333333333332,0.9462743843939878,0.9393939393939394,0.980435585086748,0.9566347247035892,0.975609756097561,0.9123809523809524,1.0,0.7538699690402477,0.9333333333333332,0.745115856428896,0.8827586206896552,0.8310439560439561,1.0,1.0,0.8998988877654196,0.7655172413793103,0.7145877378435518,0.9282296650717704,0.8297197250132204,1.0,0.8899533284205354,1.0,0.7902097902097902,1.0,0.8,1.0,1.0,1.0,0.7984071677451469
align-dinov2+1b-things+hyp-abl10-42-random,0.9463487332339792,0.7570932843437437,1.0,0.6634146341463415,0.9600614439324116,0.9486607142857144,0.8115942028985508,0.846376811594203,1.0,0.7126436781609196,0.7786233722306781,0.9366471734892788,1.0,0.9332858921900018,0.7367405978784957,0.6272727272727273,0.917020273455917,1.0,0.7291666666666667,0.9210126582278482,0.46875,0.7413213885778276,0.851219512195122,0.973232669869595,0.9642401021711366,0.7575757575757576,0.7653923541247485,0.9566347247035892,0.8753799392097263,0.8900047824007652,0.9228521332554064,0.6102941176470589,0.6875,0.7166666666666667,1.0,0.9436813186813188,1.0,0.8027210884353742,0.8998988877654196,0.8988095238095238,0.7145877378435518,0.8545258620689655,0.9087301587301588,0.8954326923076923,0.8123167155425219,0.9017857142857144,0.8084257206208425,0.9312805603277388,0.7163865546218487,0.939783219590526,0.9823693164243736,0.9093406593406592,0.784688995215311
align-dinov2+1b-things+hyp-abl10-7,1.0,0.828009828009828,1.0,1.0,0.9600614439324116,0.8973214285714286,0.9015151515151516,0.846376811594203,0.9451114922813036,0.6940024479804161,0.946527777777778,0.9212121212121211,0.8588709677419355,0.9598858976644676,0.9022556390977444,0.8703352308665402,0.9499857914180164,1.0,0.8531665994352562,0.974987974987975,0.46875,0.8472222222222222,0.851219512195122,0.973232669869595,1.0,0.968727789623312,0.980435585086748,0.9566347247035892,1.0,0.9780009564801532,1.0,0.7812382739212007,0.9031476997578692,0.7723214285714286,1.0,0.764367816091954,1.0,0.8027210884353742,0.9678048780487803,0.7655172413793103,0.7545454545454545,0.9074074074074074,0.7526881720430108,1.0,0.8893007165801828,1.0,0.9153439153439152,0.969047619047619,0.9054621848739496,1.0,0.9823693164243736,1.0,0.8200000000000001
align-dinov2+1b-things+hyp-abl10-7-random,1.0,0.7856705450091855,1.0,0.4523809523809524,0.9801753717117804,0.9520833333333334,0.8852941176470588,0.8279841327082582,0.9451114922813036,0.7799119647859143,0.8674242424242424,0.9366471734892788,0.9206349206349206,0.9332858921900018,0.8260481712756467,0.8975,0.9386117893268224,1.0,0.755868544600939,0.924963924963925,0.46875,0.8636363636363636,0.8140243902439024,0.973232669869595,0.87399549983928,0.9117056856187292,0.8080482897384306,0.9706851119894598,0.8225108225108224,0.9123809523809524,0.9865009970854426,0.7128482972136223,0.6307692307692307,0.745115856428896,0.8827586206896552,0.6693548387096775,1.0,0.8027210884353742,0.9345238095238096,0.7655172413793103,0.7545454545454545,0.8277747402952433,0.8600405679513184,0.9469996954005484,0.6698599852616065,0.8854166666666667,0.8330434782608696,0.938095238095238,0.8545258620689655,1.0,1.0,1.0,0.7896103896103897
align-dinov2+1b-things+hyp-abl10-local-shuffled-218,0.9731404958677686,0.7684210526315789,1.0,1.0,0.8635897435897435,1.0,0.92831541218638,1.0,0.9457735247208932,0.7796610169491526,0.9286678234046656,0.8333333333333334,1.0,0.8775612193903048,1.0,0.8776223776223776,0.983251040759028,1.0,1.0,0.973006905210295,0.9367521367521368,0.9393939393939394,0.8302325581395349,0.8581932773109244,0.9252279635258358,0.9731506849315068,1.0,0.9717039800995024,1.0,0.9571428571428572,1.0,0.8310344827586207,1.0,0.8315412186379928,1.0,0.6813397129186602,0.8342245989304813,0.8392857142857143,0.815,0.9015151515151516,1.0,0.915027537372148,0.6503496503496503,0.92875,0.8538884524744697,0.912442396313364,0.927950310559006,0.9361874927485788,0.8920454545454546,1.0,1.0,1.0,0.9844831702076868
align-dinov2+1b-things+hyp-abl10-local-shuffled-42,0.9731404958677686,0.7208646616541354,1.0,1.0,0.7227833894500562,1.0,0.92831541218638,0.9411255411255413,0.8827586206896552,0.7410008779631256,0.8745053702656869,0.8553121124431583,1.0,0.8348579682233992,0.9642502482621648,0.9404761904761904,0.8695324283559578,1.0,1.0,1.0,0.6372549019607843,0.7650648360030511,0.8451301832208293,0.8545258620689655,0.9252279635258358,0.9731506849315068,1.0,0.958109559613319,0.9735191637630662,0.9571428571428572,1.0,0.7365591397849462,1.0,0.8041666666666667,1.0,0.8059440559440559,0.8342245989304813,0.7894736842105263,0.815,1.0,0.762962962962963,1.0,0.8015873015873016,0.9463108320251178,0.9337606837606838,0.9584699453551913,0.9296969696969696,0.926372155287818,0.7414965986394557,0.9775175644028102,0.979454926624738,1.0,0.904970760233918
align-dinov2+1b-things+hyp-abl10-local-shuffled-7,1.0,0.7847157502329916,1.0,1.0,0.8026315789473684,0.943939393939394,0.9626517273576096,0.8968580715059589,1.0,0.7773584905660378,0.8697947214076246,0.8726655348047538,1.0,0.8999999999999999,1.0,0.9095607235142118,0.906989247311828,1.0,0.956439393939394,1.0,1.0,0.906183368869936,0.8704908338261383,0.9074074074074074,0.9252279635258358,0.9731506849315068,1.0,0.985657998423956,0.9735191637630662,0.9153439153439152,1.0,0.7365591397849462,1.0,0.8315412186379928,1.0,0.6813397129186602,0.8342245989304813,0.8927507447864945,0.8489795918367347,0.953846153846154,1.0,1.0,0.76,0.8419106317411402,0.8380355276907001,0.912442396313364,0.9644607843137256,0.9378601287990058,0.919661733615222,1.0,0.979454926624738,1.0,0.9531362653208364
align-dinov2+1b-things+hyp-abl10-shuffled-218,0.6486750917244191,0.3267162944582299,0.6785304247990815,0.4736842105263157,0.3466666666666667,0.6991978609625669,0.4098360655737705,0.3450292397660819,0.4285714285714285,0.3043478260869565,0.5317567567567567,0.5808823529411764,0.762962962962963,0.5164086687306502,0.3859649122807017,0.3676470588235294,0.6009828842569056,0.7916666666666666,0.6857142857142857,0.6507936507936507,0.4683544303797468,0.4084507042253521,0.4067460317460317,0.3661971830985915,0.3076923076923077,0.5542483660130719,0.5777777777777777,0.5483348751156336,0.3478260869565217,0.4327603640040445,0.6700879765395895,0.4121022430881585,0.462532299741602,0.2916666666666667,0.4583333333333333,0.4272445820433436,0.5974025974025974,0.4166666666666667,0.7002898550724638,0.4262295081967213,0.5497076023391813,0.3846153846153846,0.4273658830620856,0.6109777015437392,0.5428707905421544,0.4166666666666667,0.4906621392190152,0.3891103548857559,0.3220338983050847,0.5821428571428571,0.4845539743144741,0.4259259259259259,0.581264481959616
