run_name,overall,total_illegal_ratio,body part,clothing accessory,sports equipment,home appliance,game,tool,piece of women's clothing,vegetable,outerwear,food,farm animal,insect,fruit,office supply item,dessert,bird,container,arts and crafts item,home decor item,kitchen appliance,school supply,construction equipment,kitchen tool,breakfast food,sea animal,fastener,scientific equipment,candy,safety equipment,condiment,mammal,animal,hardware item,musical,electronic device,furniture,car part,footwear,vehicle,watercraft,seafood,piece of jewelry,plant,garden tool,source of light,protective clothing item,item of clothing,drink,weapon,medical equipment,headwear,toy,personal hygiene item
align-dinov2+1b-things+hyp-abl30cat-218-random,0.5196768609347951,0.0,0.5408805031446541,0.7572463768115942,0.4296116504854368,0.4542124542124542,0.4786729857819905,0.5891304347826087,0.7786561264822134,0.5326460481099656,0.670995670995671,0.4027504911591356,0.425438596491228,0.6649746192893401,0.5836575875486382,0.5076923076923077,0.5494505494505495,0.6054421768707483,0.4880174291938998,0.4557823129251701,0.6541095890410958,0.5581395348837209,0.5020408163265306,0.5134099616858238,0.6096491228070176,0.2620967741935484,0.3399209486166007,0.551219512195122,0.5588235294117647,0.5737704918032787,0.6732283464566929,0.1990049751243781,,,,,,,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl70-7-random,0.6149290831992982,0.0,0.2518518518518518,0.5793650793650794,0.6222910216718266,0.5230769230769231,0.5297619047619048,0.5681293302540416,0.755656108597285,0.6481481481481481,0.34,0.8700564971751412,0.6598984771573604,0.5276073619631901,0.6863636363636364,0.3891891891891892,0.5060240963855421,0.6174242424242424,0.7138964577656676,0.5476190476190477,0.6413502109704642,0.4583333333333333,0.7293577981651376,0.5622119815668203,0.481981981981982,0.4532710280373832,0.522633744855967,0.5775401069518716,0.3904761904761905,0.6164383561643836,0.545045045045045,0.6235955056179775,0.7422222222222222,0.8938547486033519,0.5489614243323442,0.4577777777777778,0.7731958762886598,0.5434782608695652,0.5625,0.625,0.654320987654321,0.4292452830188679,0.550561797752809,0.6235955056179775,0.5214007782101168,0.5,0.5161290322580645,0.5886075949367089,0.7314410480349345,0.7247706422018348,0.5390625,0.6634146341463415,0.5423728813559322,0.4444444444444444,0.4873096446700508
align-dinov2+500m-things+hyp-abl30-218-random,0.7991726714705097,0.0,0.855072463768116,0.8148148148148148,0.75,0.875968992248062,0.7101449275362319,0.8902439024390244,0.923728813559322,0.6585365853658537,0.8365384615384616,0.9067245119305856,0.7279411764705882,0.8888888888888888,0.7633587786259542,0.7747747747747747,0.8583333333333333,0.7972027972027972,0.73,0.8943089430894309,0.65,0.8936170212765957,0.7181818181818181,0.7364341085271318,0.752,0.8110236220472441,0.825503355704698,0.7790697674418605,0.6137931034482759,0.8846153846153846,0.744,0.8144329896907216,0.924187725631769,0.9535452322738386,0.7512953367875648,0.6779661016949152,0.8544303797468354,0.5149253731343284,0.8152173913043478,0.794392523364486,0.621301775147929,0.7717391304347826,0.853448275862069,0.8706896551724138,0.78125,0.9051724137931034,0.7477477477477478,0.7241379310344828,0.932806324110672,0.8114754098360656,0.6319444444444444,0.6071428571428571,0.6626506024096386,0.6879432624113475,0.7021276595744681
align-dinov2+1b-things+hyp-abl10-218-random,0.8778538812785388,0.0,0.78125,0.9661016949152542,0.7931034482758621,0.9428571428571428,0.7619047619047619,0.9204545454545454,0.6111111111111112,0.935483870967742,0.86,0.9725274725274724,0.96875,0.8846153846153846,1.0,0.8275862068965517,0.9375,0.9615384615384616,0.8059701492537313,0.8297872340425532,0.4666666666666667,0.8125,0.935483870967742,0.851063829787234,0.8913043478260869,0.9333333333333332,0.9814814814814816,0.7714285714285715,0.6666666666666666,0.8421052631578947,0.864406779661017,0.9090909090909092,0.8888888888888888,0.9772727272727272,0.8301886792452831,1.0,0.9818181818181818,0.9210526315789472,1.0,0.7567567567567568,0.5932203389830508,1.0,0.9285714285714286,0.6363636363636364,0.9473684210526316,1.0,1.0,0.9210526315789472,0.9625,0.9148936170212766,0.7142857142857143,0.8181818181818182,0.8888888888888888,0.6,0.7083333333333334
align-dinov2+1b-things+hyp-abl10cat-7-random,0.6062884483937115,0.0,,,,,,,,,,,,,,,0.5567765567765568,,0.7407407407407407,,,,,,,0.6935483870967742,0.7747035573122529,,0.6050420168067226,,,,,,,,,0.5270758122743683,0.4708520179372197,,,,,,,0.6089108910891089,,,0.5233463035019456,,,,,,0.5313807531380753
align-siglip+500m-things+hyp-abl90-42-random,0.5128862590401052,0.0,0.1677852348993288,0.5551470588235294,0.4494949494949495,0.4122137404580153,0.507537688442211,0.5413043478260869,0.3682008368200837,0.6870503597122302,0.5108225108225108,0.7109768378650554,0.5610859728506787,0.5126903553299492,0.7327935222672065,0.484375,0.5880149812734082,0.454225352112676,0.6279620853080569,0.5480427046263345,0.5268817204301075,0.5167464114832536,0.5364806866952789,0.2984496124031007,0.5765765765765766,0.3629032258064516,0.4696356275303643,0.4257425742574257,0.4595744680851064,0.5738396624472574,0.508,0.3434343434343434,0.69375,0.3888888888888889,0.5115681233933161,0.5141700404858299,0.40625,0.4644194756554307,0.5327102803738317,0.4784688995215311,0.5421994884910486,0.3070175438596491,0.5260416666666666,0.3829787234042553,0.5409252669039146,0.4895833333333333,0.4247787610619469,0.4715025906735751,0.6845238095238095,0.4285714285714285,0.5171232876712328,0.5060240963855421,0.450261780104712,0.4194756554307116,0.4848484848484848
align-siglip+1b-things+hyp-abl90-42-random,0.5213675213675214,0.0,0.7718120805369127,0.4007352941176471,0.5126262626262627,0.4465648854961832,0.592964824120603,0.7152173913043478,0.4393305439330544,0.6618705035971223,0.5021645021645021,0.6324269889224572,0.6515837104072398,0.4720812182741117,0.6234817813765182,0.5052083333333334,0.5393258426966292,0.5774647887323944,0.7914691943127962,0.5338078291814946,0.4802867383512544,0.5741626794258373,0.5107296137339056,0.4069767441860465,0.4954954954954955,0.3911290322580645,0.4210526315789473,0.5247524752475248,0.5148936170212766,0.4810126582278481,0.436,0.6464646464646465,0.55,0.4741602067183462,0.4884318766066838,0.4453441295546558,0.4119318181818182,0.4794007490636704,0.5093457943925234,0.4401913875598086,0.5294117647058824,0.3991228070175439,0.421875,0.5531914893617021,0.4270462633451957,0.5,0.411504424778761,0.7409326424870466,0.4523809523809524,0.2938775510204082,0.5787671232876712,0.4578313253012048,0.4607329842931937,0.3895131086142322,0.6233766233766234
align-dinov2+500m-things+hyp-abl10cat-42-random,0.6066302118933697,0.0,,,,,,,,,,,,,,,0.5714285714285714,,0.6383442265795207,,,,,,,0.6129032258064516,0.6363636363636364,,0.6428571428571429,,,,,,,,,0.5018050541516246,0.515695067264574,,,,,,,0.6633663366336634,,,0.6147859922178989,,,,,,0.6527196652719666
align-dinov2+500m-things+hyp-abl50-7-random,0.7018991835285765,0.0,0.4692307692307692,0.6764705882352942,0.7956204379562044,0.5652173913043478,0.7076923076923077,0.7633802816901408,0.7556818181818182,0.7488151658767772,0.6647398843930635,0.9157608695652174,0.5251396648044693,0.7328767123287672,0.7208121827411168,0.6950354609929078,0.5959595959595959,0.6844444444444444,0.76171875,0.6103286384976526,0.6966292134831461,0.5263157894736842,0.7627118644067796,0.6117021276595744,0.4852071005917159,0.7213114754098361,0.6875,0.5845070422535211,0.5614035087719298,0.7821229050279329,0.6502463054187192,0.5869565217391305,0.8278688524590164,0.9409780775716696,0.6219081272084805,0.6219512195121951,0.7448559670781894,0.582089552238806,0.6729559748427673,0.8114285714285714,0.7237354085603113,0.6549707602339181,0.5723270440251572,0.7251908396946565,0.6805555555555556,0.6486486486486487,0.647887323943662,0.6554054054054054,0.872,0.5581395348837209,0.6046511627906976,0.5491329479768786,0.5056179775280899,0.5,0.6894409937888198
align-dinov2+1b-things+hyp-abl20cat-7-random,0.5246707638279192,0.0,,,0.4223300970873786,,,0.741304347826087,,,,,,0.6954314720812182,,0.6256410256410256,,,,,0.6095890410958904,,,0.367816091954023,,0.6491935483870968,0.6284584980237155,0.5804878048780487,0.4285714285714285,,,0.2388059701492537,0.2416666666666666,,0.4851485148514851,0.4870848708487085,,,,,0.491566265060241,,0.5572916666666666,,,,,0.7616580310880829,,,,0.5303030303030303,,0.6218181818181818,0.5774058577405857
