idx,score
0,-2.9432342052459717
1,-2.2128212451934814
2,-2.3542962074279785
3,-2.0927605628967285
4,-4.038623332977295
5,-3.6588826179504395
6,-3.216172933578491
7,-2.9311716556549072
8,-4.143029689788818
9,-3.160956382751465
10,-3.138998508453369
11,-2.7835116386413574
12,-4.013009071350098
13,-3.7723231315612793
14,-3.264456272125244
15,-2.9124884605407715
16,-4.337711334228516
17,-3.7952141761779785
18,-3.5179264545440674
19,-3.208347797393799
20,-4.152177333831787
21,-3.6069982051849365
22,-3.2042622566223145
23,-2.9128382205963135
24,-3.4533870220184326
25,-3.0835232734680176
26,-3.0030910968780518
27,-2.716395616531372
28,-3.4234702587127686
29,-2.668811798095703
30,-2.6668622493743896
31,-2.3603663444519043
32,-4.038623332977295
33,-3.6588826179504395
34,-3.216172933578491
35,-2.9311716556549072
36,-4.143029689788818
37,-3.160956382751465
38,-3.138998508453369
39,-2.7835116386413574
40,-4.013009071350098
41,-3.7723231315612793
42,-3.264456272125244
43,-2.9124884605407715
44,-4.337711334228516
45,-3.7952141761779785
46,-3.5179264545440674
47,-3.208347797393799
48,-4.152177333831787
49,-3.6069982051849365
50,-3.2042622566223145
51,-2.9128382205963135
52,-3.4533870220184326
53,-3.0835232734680176
54,-3.0030910968780518
55,-2.716395616531372
56,-3.3070099353790283
57,-2.9566781520843506
58,-2.6325650215148926
59,-2.587080240249634
60,-4.8902668952941895
61,-4.453866481781006
62,-3.6284351348876953
63,-3.4650001525878906
64,-4.621312618255615
65,-4.0906147956848145
66,-3.6169707775115967
67,-3.4503843784332275
68,-3.957862138748169
69,-3.321415662765503
70,-3.485738754272461
71,-3.3475449085235596
72,-4.601058483123779
73,-4.537384986877441
74,-3.5740556716918945
75,-3.499812126159668
76,-3.183799982070923
77,-2.789557695388794
78,-2.7412807941436768
79,-2.750605821609497
80,-3.8188910484313965
81,-3.266326904296875
82,-3.0700156688690186
83,-3.091740369796753
84,-3.844195604324341
85,-3.602534055709839
86,-3.160318374633789
87,-3.1723036766052246
88,-3.6050753593444824
89,-3.4567832946777344
90,-3.0213561058044434
91,-3.052549123764038
92,-3.706183671951294
93,-3.582479953765869
94,-3.196165084838867
95,-3.2376925945281982
96,-3.666090965270996
97,-3.1510868072509766
98,-3.4032533168792725
99,-3.3193838596343994
100,-3.7385976314544678
101,-3.8167073726654053
102,-3.0973050594329834
103,-3.1081559658050537
104,-4.3565897941589355
105,-4.170774459838867
106,-3.5129361152648926
107,-3.581332206726074
108,-3.9969210624694824
109,-3.504178762435913
110,-3.237041473388672
111,-3.2252607345581055
112,-3.2849533557891846
113,-3.008019208908081
