run_name,animal,arts and crafts item,bird,body part,breakfast food,candy,car part,clothing accessory,condiment,construction equipment,container,dessert,drink,electronic device,farm animal,fastener,food,footwear,fruit,furniture,game,garden tool,hardware item,headwear,home appliance,home decor item,insect,item of clothing,kitchen appliance,kitchen tool,mammal,medical equipment,musical,office supply item,outerwear,personal hygiene item,piece of jewelry,piece of women's clothing,plant,protective clothing item,safety equipment,school supply,scientific equipment,sea animal,seafood,source of light,sports equipment,tool,toy,vegetable,vehicle,watercraft,weapon
align-dinov2+500m-things+hyp-abl30cat-7,1.0,1.0,1.0,1.0,1.0,1.0,0.9834815321477428,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666668,1.0,1.0,1.0,1.0,1.0,0.9935709998320672,1.0,1.0,0.9908943769408886,1.0,0.9882352941176472,1.0,1.0,0.9896907216494846,1.0,1.0,1.0,0.9480158507897388,1.0,1.0,1.0,0.9803921568627452,1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,0.9894736842105264,1.0,0.9859210853766632,1.0,1.0,0.991184216345748,1.0,0.9964544140530752,0.9905306615724992,0.9784717876637816
align-dinov2+500m-things+hyp-abl30cat-7-random,0.9972697610599612,1.0,0.987012987012987,0.9859154929577464,1.0,1.0,0.9834815321477428,1.0,1.0,1.0,0.9904761904761904,0.9772727272727272,0.949832979046462,0.9383248330616752,1.0,1.0,0.9866666666666668,0.9853370304350696,0.9879518072289156,0.9737904951205708,0.9772727272727272,1.0,0.9726831308226656,0.9442363400259712,1.0,1.0,0.9855072463768116,0.9844447672035812,1.0,1.0,0.996687437247553,0.9064285314215302,0.9811069479719366,1.0,0.9873417721518988,0.9803137568502012,0.9576810499480692,0.9696969696969696,0.9367237041337932,1.0,1.0,1.0,1.0,1.0,1.0,0.971830985915493,1.0,1.0,0.9004223940737984,0.9387755102040816,0.9855014602047985,1.0,0.9347737776338644
align-dinov2+500m-things+hyp-abl30cat-local-shuffled-218,1.0,1.0,1.0,1.0,1.0,0.9885057471264368,0.9926114924839184,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,0.9711926876013564,1.0,1.0,1.0,1.0,1.0,0.9937706061058816,1.0,1.0,1.0,0.9825118528299154,1.0,1.0,0.9885057471264368,0.9895287958115184,1.0,1.0,0.990106729223324,0.9454732553324102,0.9880358901169416,1.0,1.0,0.9902125556104796,1.0,0.9873417721518988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875218983914636,0.9855072463768116,0.991304347826087,0.9832417582417582,1.0,0.9965930780949344,0.981132075471698,0.9656416771533912
align-dinov2+500m-things+hyp-abl30cat-local-shuffled-42,0.9973036304995488,1.0,1.0,1.0,1.0,1.0,0.992572583634036,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9787234042553192,1.0,0.953958041958042,1.0,1.0,1.0,0.9777956126270734,0.9806435394670688,1.0,1.0,1.0,1.0,0.9843974726007234,1.0,1.0,0.9934468550371038,0.956043956043956,0.9939973515925264,1.0,0.9894736842105264,0.9705325922064536,1.0,1.0,1.0,1.0,0.9859154929577464,1.0,0.9866666666666668,1.0,1.0,0.9626602310492168,1.0,0.991304347826087,1.0,1.0,0.9965930780949344,0.9905990203229276,0.9452165734053916
align-dinov2+500m-things+hyp-abl30cat-local-shuffled-7,1.0,1.0,0.9846153846153846,1.0,1.0,1.0,0.9777177509021084,0.9655172413793104,1.0,1.0,0.9873417721518988,1.0,1.0,0.9857142857142858,1.0,0.9894736842105264,0.9885057471264368,1.0,1.0,0.9937706061058816,1.0,1.0,0.9710631073644772,1.0,1.0,1.0,0.9885057471264368,0.9893805763397144,1.0,1.0,0.9835112153722066,0.9672839531994462,1.0,1.0,0.9894736842105264,0.9705325922064536,0.9668571428571427,0.9873417721518988,1.0,1.0,0.9714285714285712,1.0,1.0,1.0,1.0,0.9875218983914636,1.0,0.991304347826087,0.9577024613712244,1.0,0.9896711745043066,0.9715919847174976,0.9579500525499224
align-dinov2+500m-things+hyp-abl30cat-shuffled-218,0.948234001217644,1.0,0.9696969696969696,0.9855072463768116,1.0,1.0,0.9358180397229632,1.0,1.0,1.0,1.0,1.0,0.9766537467700256,0.9385184437789222,1.0,1.0,0.9887640449438202,0.9333333333333332,1.0,0.9402934727610052,1.0,1.0,0.9082446375679458,0.9844447727869712,1.0,1.0,1.0,0.9012335116973618,1.0,1.0,0.9180971764212694,0.9242918518013066,0.924448419797257,0.9655172413793104,1.0,0.8815878905032114,0.9169301523426272,1.0,0.9591283202394312,1.0,1.0,1.0,0.9876543209876542,1.0,1.0,0.9557130004498424,1.0,1.0,0.9446921003524776,1.0,0.9051507152065812,0.9543887293398056,0.9183673469387756
align-dinov2+500m-things+hyp-abl30cat-shuffled-42,0.948812271125544,1.0,1.0,1.0,1.0,1.0,0.942810027028873,1.0,1.0,1.0,0.9894736842105264,1.0,0.9414956235223916,0.9002921840759678,1.0,1.0,1.0,1.0,1.0,0.9471716689107992,0.9787234042553192,1.0,0.9331144050679834,0.9536699173340224,1.0,1.0,1.0,0.9220220639575476,1.0,1.0,0.9512229012229012,0.9574468085106383,0.9026603287987814,1.0,1.0,0.8902980581062773,0.9498105508598076,1.0,0.9695274422547152,1.0,1.0,0.9902912621359224,1.0,1.0,1.0,0.9557130004498424,1.0,0.989010989010989,0.9223040343610984,1.0,0.9177231345188464,0.9636363636363636,0.9364145523846084
align-dinov2+500m-things+hyp-abl30cat-shuffled-7,0.948234001217644,1.0,0.9850746268656716,1.0,1.0,1.0,0.9131365366659484,1.0,1.0,1.0,1.0,1.0,0.9648973741134348,0.9588495493441926,1.0,1.0,0.9887640449438202,0.9833472570314676,1.0,0.946131946131946,1.0,1.0,0.9257242938994094,1.0,1.0,1.0,1.0,0.9578146786664976,1.0,1.0,0.9586886955308008,0.9471662587083411,0.9360012297601968,1.0,1.0,0.9107142857142856,0.9493333333333334,0.9787234042553192,0.9497588803299888,1.0,1.0,1.0,0.9876543209876542,1.0,1.0,0.9337355455002514,1.0,1.0,0.9525142296459193,1.0,0.9383532835430662,0.94506552006552,0.9727891156462584
align-dinov2+500m-things+hyp-abl40cat-218,1.0,0.9691149186947504,1.0,0.9750156347717324,1.0,1.0,1.0,0.9830803670266416,1.0,1.0,1.0,1.0,1.0,0.98376,1.0,1.0,0.9975280023620614,1.0,0.9861536479949624,0.99240621879903,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9790644485893246,1.0,1.0,0.9897959183673468,1.0,0.9701492537313432
align-dinov2+500m-things+hyp-abl40cat-218-random,1.0,0.937788697788698,0.984126984126984,0.924859287054409,0.979591836734694,0.9803921568627452,1.0,0.8984804208065459,0.96,1.0,1.0,1.0,1.0,0.9669834983498348,1.0,0.9430929532309424,0.992863972186006,0.9565217391304348,0.971769944341373,0.9772186563970904,1.0,0.8163265306122449,1.0,1.0,1.0,1.0,0.979591836734694,1.0,1.0,0.94765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9491525423728814,1.0,1.0,0.925749723757816,0.9836065573770492,1.0,0.9734368297838254,1.0,0.9610319107006076
