run_name,overall,total_illegal_ratio,mammal,construction equipment,scientific equipment,furniture,animal,game,outerwear,condiment,electronic device,vehicle,item of clothing,home appliance,home decor item,fruit,food,seafood,body part,drink,tool,school supply,protective clothing item,car part,sports equipment,office supply item,farm animal,footwear,watercraft,container,kitchen appliance,fastener,source of light,musical,plant,vegetable,clothing accessory,piece of jewelry,sea animal,arts and crafts item,headwear,weapon,medical equipment,insect,garden tool,candy,safety equipment,toy,dessert,kitchen tool,breakfast food,personal hygiene item,piece of women's clothing,bird,hardware item
align-dinov2+500m-things+hyp-abl10-42,0.9831634229224592,0.0,1.0,0.9622641509433962,0.9809523809523808,0.9958847736625516,0.9985401459854014,0.9940828402366864,0.9385474860335196,0.9874213836477987,0.982089552238806,0.9945054945054944,0.9927536231884058,0.9829787234042552,0.9781818181818182,0.9955555555555556,0.9857651245551602,0.9882352941176472,0.9662162162162162,0.9896907216494846,0.9893899204244032,0.9948717948717948,0.9814814814814816,0.9902439024390244,0.9878048780487804,0.9820359281437124,0.9880239520958084,0.9885057471264368,0.9942528735632185,0.9796380090497736,0.9715909090909092,0.9753694581280788,0.9779005524861878,0.9955156950672646,0.9831932773109244,0.9863013698630136,0.9696969696969696,0.9940828402366864,0.9908675799086758,0.9583333333333334,0.9867549668874172,0.9562043795620438,0.9637305699481864,1.0,0.9627329192546584,0.9794520547945206,0.9757575757575756,0.976851851851852,0.970954356846473,0.9732620320855616,0.979591836734694,0.9800995024875622,0.9719101123595506,1.0,0.9651898734177216
align-dinov2+1b-things+hyp-abl10cat-218,0.988508024569051,0.0,1.0,0.925531914893617,1.0,1.0,1.0,0.9866666666666668,1.0,1.0,0.984984984984985,0.9946380697050938,1.0,0.9899497487437184,0.9786324786324786,0.9864864864864864,0.9841726618705036,0.9912280701754386,0.9914529914529916,1.0,0.9878419452887538,0.9938271604938272,1.0,1.0,0.9968152866242038,0.9798657718120806,0.9727891156462584,1.0,1.0,1.0,0.9801324503311258,0.9779005524861878,1.0,1.0,1.0,0.9954954954954957,0.9722222222222222,0.9856115107913668,0.991304347826087,0.9652173913043478,0.99009900990099,0.9615384615384616,0.9877300613496932,1.0,1.0,0.9703703703703704,0.9838709677419356,0.9801980198019802,1.0,0.9822485207100592,1.0,0.9903846153846154,1.0,1.0,0.9714285714285714
align-dinov2+1b-things+hyp-abl30-218,0.9836488812392428,0.0,1.0,0.9722222222222222,0.9767441860465116,0.9824561403508772,1.0,1.0,0.954954954954955,1.0,0.9759615384615384,1.0,0.992063492063492,0.9802631578947368,0.9668508287292816,0.9852941176470588,0.9963503649635036,0.9901960784313726,0.9894736842105264,0.992063492063492,0.9757085020242916,0.9758064516129032,0.9896907216494846,0.9925925925925926,0.9896373056994818,0.98,1.0,1.0,1.0,0.9838709677419356,0.9680851063829788,0.9779411764705882,1.0,1.0,0.9875,1.0,0.9583333333333334,1.0,0.9915966386554622,0.9383561643835616,0.9550561797752808,0.9430379746835444,0.9788732394366196,1.0,0.956989247311828,0.9886363636363636,0.96875,0.981132075471698,0.9580838323353292,0.9848484848484848,0.9722222222222222,0.9844961240310076,0.991150442477876,1.0,0.9583333333333334
align-dinov2+1b-things+hyp-abl50-42,0.984069668649108,0.0,1.0,0.972972972972973,1.0,0.991304347826087,1.0,0.9821428571428572,0.9807692307692308,1.0,0.9823008849557522,0.9825581395348836,1.0,1.0,0.9428571428571428,1.0,0.993920972644377,1.0,1.0,0.9782608695652174,0.9583333333333334,0.958904109589041,0.9807692307692308,1.0,0.9929577464788732,0.9661016949152542,0.9767441860465116,1.0,0.9714285714285714,0.9946808510638298,0.981132075471698,0.9873417721518988,1.0,1.0,1.0,1.0,0.9692307692307692,0.984375,0.9846153846153848,0.9558823529411764,0.9516129032258064,0.9519230769230768,0.9859154929577464,1.0,0.953125,1.0,0.981132075471698,0.9797979797979798,1.0,0.9552238805970148,0.9444444444444444,0.9855072463768116,0.9830508474576272,1.0,0.925531914893617
align-dinov2+1b-things+hyp-abl70-218,0.8865217391304347,0.0,0.9692307692307692,0.6470588235294118,0.8571428571428571,0.8709677419354839,0.97,0.6818181818181818,0.9629629629629628,0.7916666666666666,0.8484848484848485,0.9325842696629212,0.9894736842105264,0.875,0.8793103448275862,0.6944444444444444,0.986013986013986,0.9333333333333332,0.84,0.9555555555555556,0.7818181818181819,1.0,0.7857142857142857,0.8979591836734694,0.868421052631579,0.7941176470588235,1.0,0.92,0.9565217391304348,0.8613861386138614,0.9230769230769232,0.7142857142857143,0.875,0.9047619047619048,0.9245283018867924,0.84375,0.9090909090909092,0.945945945945946,1.0,0.8,0.9090909090909092,0.8620689655172413,0.8529411764705882,0.925925925925926,1.0,0.9166666666666666,0.875,0.8,0.9444444444444444,0.8235294117647058,0.9130434782608696,0.6590909090909091,0.8095238095238095,0.85,0.8636363636363636
align-dinov2+500m-things+hyp-abl40cat-218,0.991430700447094,0.0,1.0,1.0,1.0,0.9924812030075189,1.0,1.0,1.0,1.0,0.984,0.9897959183673468,1.0,1.0,1.0,0.9863945578231292,0.9974747474747476,1.0,0.975,1.0,0.979591836734694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,0.9696969696969696,0.9545454545454546,0.9701492537313432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+1b-things+hyp-abl30cat-42,0.9912776991984912,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981132075471698,1.0,1.0,0.9791666666666666,1.0,0.9875776397515528,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,1.0,0.9428571428571428,0.9375,1.0,1.0,1.0,1.0,0.9734513274336284,1.0,1.0,1.0,0.9705882352941176,1.0,1.0,0.9090909090909092
align-dinov2+1b-things+hyp-abl40cat-7,0.991430700447094,0.0,1.0,1.0,1.0,0.9924812030075189,1.0,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,0.9727891156462584,1.0,1.0,0.975,1.0,0.979591836734694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,0.9393939393939394,1.0,0.9850746268656716,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl90-42,0.9798136645962732,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.9090909090909092
align-dinov2+500m-things+hyp-abl70-42,0.9760869565217392,0.0,1.0,0.9705882352941176,1.0,0.967741935483871,1.0,1.0,0.8148148148148148,0.9166666666666666,0.9696969696969696,0.9887640449438202,0.9894736842105264,0.975,0.9827586206896552,0.9722222222222222,0.972027972027972,1.0,0.96,1.0,0.9636363636363636,1.0,0.9642857142857144,0.9387755102040816,1.0,1.0,1.0,1.0,0.9565217391304348,0.9801980198019802,1.0,1.0,0.9,1.0,1.0,1.0,0.9772727272727272,0.918918918918919,0.96,0.9555555555555556,0.9090909090909092,0.9827586206896552,0.9705882352941176,1.0,0.9565217391304348,1.0,1.0,0.9777777777777776,0.9722222222222222,1.0,0.9130434782608696,0.9318181818181818,0.9523809523809524,1.0,1.0
