run_name,animal,arts and crafts item,bird,body part,breakfast food,candy,car part,clothing accessory,condiment,construction equipment,container,dessert,drink,electronic device,farm animal,fastener,food,footwear,fruit,furniture,game,garden tool,hardware item,headwear,home appliance,home decor item,insect,item of clothing,kitchen appliance,kitchen tool,mammal,medical equipment,musical,office supply item,outerwear,personal hygiene item,piece of jewelry,piece of women's clothing,plant,protective clothing item,safety equipment,school supply,scientific equipment,sea animal,seafood,source of light,sports equipment,tool,toy,vegetable,vehicle,watercraft,weapon
align-dinov2+1b-llama-chat-things+hyp-abl20cat-local-shuffled-7,0.8901347155909526,0.7504030011009473,0.9937888198757764,0.9882352941176472,0.3993230204675587,0.994871794871795,0.8614111144914309,0.9910368570382824,0.6196322489391797,0.31440329218107,0.894302415525159,0.9587909166856536,0.9930069930069928,0.812339089722422,0.9141432996660176,0.5890983412460259,0.7615096411910846,0.8293333333333334,1.0,0.9873417721518988,0.8153495440729482,0.6971050454921421,0.1154100926702118,0.8563418571064481,0.8636363636363636,0.5239774604099874,0.973156780942016,0.8795255802549853,0.981132075471698,0.7351351351351352,0.5705859924725903,0.3330324390337848,0.948355030490719,0.5942114993033973,0.9912243246032908,0.6620866773675762,0.9753086419753086,0.9808917197452228,0.9770114942528736,0.5901949694060235,0.7015206682373099,0.7539682539682541,0.2469182075628852,0.9890358479022548,0.6745528429685633,0.883775969221414,0.5050440760330089,0.3265634909455486,0.3847697539753056,0.9473758365621696,0.8248898290471682,0.9872009118332647,0.8918371809474619
align-dinov2+1b-llama-chat-things+hyp-abl20cat-shuffled-218,0.50427947425873,0.431156015037594,0.968944099378882,0.976470588235294,0.3162943871706759,0.9714285714285714,0.7953293677021369,0.6429091864645669,0.696594427244582,0.2023551895674657,0.4788460014266466,0.8419445494845343,0.9736842105263158,0.5704960540543448,0.5296976818715949,0.2762314681970349,0.6582478654048546,0.7398560937615903,0.8977272727272727,0.912751677852349,0.8571428571428571,0.5493200663349916,0.0914686599574059,0.9012345679012346,0.6795592048401038,0.1899662162679979,0.4457297088876036,0.4373024405977851,0.9364161849710982,0.3443965517241379,0.0537987201861547,0.3025988506732995,0.3105075649616445,0.2927200731038684,0.6689063948100092,0.262213313443968,0.8623248716881675,0.9005847953216374,0.7423117709437965,0.3686224489795918,0.4906346608474268,0.4908566538839413,0.2404907097766412,0.25899260382019,0.3364072148196295,0.6598517761308458,0.1155395447846733,0.0565410702631972,0.2528373899360541,0.8855916386711459,0.0816267311389824,0.4562137703314173,0.3425570256556173
align-dinov2+1b-llama-chat-things+hyp-abl20cat-shuffled-42,0.401832022934827,0.4469572368421052,0.915032679738562,0.9883720930232558,0.3387205073075297,0.9655172413793104,0.8130213411331384,0.6434964336013811,0.696594427244582,0.2023551895674657,0.5178566256700721,0.7703228524636953,0.987012987012987,0.6386382084706107,0.4765765765765766,0.2762314681970349,0.6732085903208674,0.583188741083478,0.9162011173184358,0.9548387096774194,0.8851802403204273,0.5493200663349916,0.0914686599574059,0.8367791307289024,0.657603890362511,0.1802409037009299,0.4457297088876036,0.517362415749757,0.9302325581395348,0.3443965517241379,0.0537987201861547,0.3025988506732995,0.2903569841504962,0.2927200731038684,0.6569280078895463,0.262213313443968,0.8876404494382022,0.9132947976878611,0.7654385054488843,0.3686224489795918,0.5033337808206918,0.48396482813749,0.2404907097766412,0.2254689754689754,0.3485768680769802,0.6279029562611652,0.1144545678404334,0.0618563318391791,0.2528373899360541,0.8065488147850542,0.1007408561979123,0.3715323252768187,0.4003542102133651
align-dinov2+1b-llama-chat-things+hyp-abl20cat-shuffled-7,0.494234346613234,0.4627584586466165,0.9290322580645162,0.9883720930232558,0.3162943871706759,0.9411764705882352,0.7831996434937611,0.7560765072009451,0.696594427244582,0.2023551895674657,0.4683499288762447,0.7052284175785999,0.9736842105263158,0.474351011307533,0.4921458741683461,0.2762314681970349,0.6663751141010643,0.583188741083478,0.8914285714285715,0.912751677852349,0.8941798941798941,0.5457089552238806,0.0914686599574059,0.9012345679012346,0.657603890362511,0.1802409037009299,0.4588972431077694,0.5042864142005955,0.9545454545454548,0.3246753246753247,0.0537987201861547,0.3025988506732995,0.2903569841504962,0.2927200731038684,0.6748552894211577,0.262213313443968,0.8512283908788629,0.9378531073446328,0.7263271162123386,0.3686224489795918,0.5446775446775447,0.48396482813749,0.2404907097766412,0.2368162650523371,0.3364072148196295,0.7010818638725614,0.1155395447846733,0.0665558531104749,0.2528373899360541,0.8149920255183413,0.077478202548625,0.3715323252768187,0.5015082956259427
align-dinov2+1b-llama-chat-things+hyp-abl30-218,0.9912096422476426,0.8321884675655011,0.9919274997285392,1.0,0.9615384615384616,0.9315505610869032,0.9529788972624588,0.9428688070451696,0.8383065435476516,0.7839089930392268,0.9002306763707522,0.9640589652589494,0.9808641596001804,0.9310523157578916,0.761831310218407,0.8667575044386638,0.9288189151308128,0.9901499978645592,0.9215974290104608,0.9839378192157876,0.9416013128997888,0.7877072189977619,0.8303328969995637,0.9601702568905538,0.9712230215827338,0.8453584018801411,1.0,0.9377391020712472,0.9595689757492608,0.7031574799270972,0.9923954372623576,0.7539604768904132,0.9715978558229076,0.8313885240995549,0.912179430983674,0.90095716329101,0.9286458744571654,0.9118609800712428,0.9454423367466844,0.7967587967587967,0.7457264957264957,0.8996723956112251,0.7448460071258576,0.9810012379573247,0.923818803129148,0.9584511784511784,0.8019609381127931,0.9099728289543104,0.8432564515167769,0.966372303585086,0.9258542965541277,0.9362329267868124,0.8550424297564291
align-dinov2+1b-llama-chat-things+hyp-abl30-42,0.9890472438442875,0.8474308300395257,1.0,1.0,0.9616820283113676,0.9315505610869032,0.943247009638834,0.8413063909774436,0.9266694090223502,0.7999573754244479,0.933442793960328,0.9568345323741008,0.962220562608912,0.926092783950884,0.7097305153303332,0.9629629629629628,0.9427261532131076,0.9802015250544662,0.9431360725873604,0.975951263357635,0.8697430862379315,0.8533816761957886,0.8568817050977474,0.9393982255368396,0.9492599479244892,0.8517176596886742,0.9824561403508772,0.9491958869957262,0.959263887389032,0.8181946766105181,1.0,0.7624342745861733,0.9323223492961864,0.8772971550978993,0.9028516449742096,0.873138990109318,0.9694196604816424,0.8480120352460778,0.9638099111423326,0.8201440173640241,0.79,0.9020537174986896,0.7290826451571603,0.9746754300551768,0.9008311890424526,0.9022164632067108,0.7904477576785378,0.925911283838113,0.8317342384477644,0.9831932773109244,0.9485306607779852,0.9546788167477822,0.8554635678180994
align-dinov2+1b-llama-chat-things+hyp-abl30-7,0.9805264079649648,0.7986938775510204,1.0,1.0,0.9325969800193198,0.912644889357218,0.9529788972624588,0.9285714285714286,0.9057178116001644,0.7999573754244479,0.9286692281948664,0.9496825513625292,0.9808641596001804,0.8918639690055962,0.6642998027613413,0.8240740740740741,0.9094889858067932,0.9902391216533896,0.950279317390676,0.9679895302773064,0.9546495886702072,0.8472823700112854,0.8409749611087084,0.93985783193704,0.9345136669558008,0.8748139443791618,0.9912489986793392,0.9377391020712472,0.934959349593496,0.7850450716713462,0.9962074181410964,0.7273728068876317,0.9423186773082842,0.904622556172542,0.9028516449742096,0.8713841439710961,0.8726821005081875,0.8881899475794018,0.9548629088858974,0.8442504226024243,0.7053998632946001,0.8814310129950843,0.6978964585948496,0.9620131450827654,0.9239961725450464,0.8902023902023902,0.7799565979031035,0.8941347597597596,0.8170415224913495,0.9579772574424982,0.9201904098455822,0.9546788167477822,0.8752747178534285
align-dinov2+1b-llama-chat-things+hyp-abl30-local-shuffled-218,0.978118726920984,0.7879026021878571,0.992429950036441,0.9753086419753086,0.953641524209877,1.0,0.9389645271834768,0.9143557422969188,0.8786107347751183,0.7038112522686026,0.8848607657118296,0.9236641221374046,0.9872890642121412,0.9161742674542364,0.6762084796111261,0.7656944919603147,0.935245875068884,0.9710215499726302,0.953988226161211,0.969552850153601,0.8803164139749508,0.8331489384120961,0.7776218526218526,0.9095712253606988,0.937086105667492,0.9091876452633644,0.97447474390811,0.960529411764706,0.9810842220399234,0.8814162028447744,0.9769695295590718,0.788933511825078,0.9827586206896552,0.8793451317230645,0.93175055091766,0.9043872843115714,0.8655259179768371,0.9016759939090035,0.9548889528124364,0.8126293995859213,0.8367457784933514,0.8709979744233153,0.7585648148148147,0.981247802648541,0.9076741440377804,0.8697805751423658,0.9194228178612466,0.8616906610967345,0.8354646206308609,0.9599846045288346,0.9229680758898186,0.9837829827827326,0.8778346772363504
align-dinov2+1b-llama-chat-things+hyp-abl30-local-shuffled-42,0.9866593701454598,0.7733887156262806,1.0,0.9864590705355036,0.925183946928514,0.9911051274970084,0.9205026580275136,0.942892135421223,0.9052760105391684,0.6965043695380774,0.879763739085773,0.892751156576893,0.9872890642121412,0.9159619047619048,0.498927159796725,0.7506950999467036,0.928631740216144,0.9903405166575434,0.9923628403179524,0.95408585347918,0.9312338425381904,0.8100498752852179,0.8461566367606635,0.937319947621126,0.9606495266523056,0.9401336241691428,0.9914373483350832,0.964422951363913,0.9524639299816784,0.9084281650071124,0.965204119509108,0.7678268630075858,0.9913411001419236,0.8965815414769124,0.971530956725044,0.8909634836102895,0.8488876319758671,0.8949391789240482,0.9178507342439668,0.876373106060606,0.9121780685287116,0.8810627210242946,0.7783809523809524,0.974992186279106,0.8918242251575584,0.8813017413645446,0.9627157928388744,0.9249347125059472,0.7752750130958617,0.975962984384037,0.9347684011759004,0.9590738319848308,0.7573903703357774
align-dinov2+1b-llama-chat-things+hyp-abl30-local-shuffled-7,0.9866593701454598,0.8046454445054143,0.992429950036441,0.9753086419753086,0.9447520369538718,1.0,0.9205026580275136,0.9000816993464053,0.8646482768931748,0.7141205615194054,0.8799389910501022,0.9080724199230512,0.9872890642121412,0.9317266641404572,0.5315185425236879,0.8802059202059201,0.9072110394581208,0.980773152458217,0.9462562122735853,0.96939056898612,0.9094880003970912,0.8219492219492219,0.7882915266092835,0.8906563706563707,0.9292131219569716,0.8762003933819276,0.9914672310734408,0.9142588235294118,0.9715824484263592,0.8822566564818857,0.965204119509108,0.8421520603973681,0.9827586206896552,0.8687982196938993,0.9530917982723088,0.8878504672897196,0.89575891085179,0.8680808618167309,0.9368445339374109,0.7778226168056677,0.7816273693943596,0.857667242640159,0.7299319727891157,0.9182939872051492,0.9619560333846048,0.9540165925258948,0.8820125842606996,0.9020175012153622,0.8314562598218963,0.975962984384037,0.9347684011759004,0.9919141811582688,0.8776303561039374
